Name,Type,Detection Method,Mass<br>(M<sub>E</sub>),Radius<br>(R<sub>E</sub>),Flux<br>(S<sub>E</sub>),<i>T<sub>surf</sub></i><br>(K),Period<br>(days),Distance<br>(ly),Age<br>(Gy),ESI,Star
TOI-904 c,M Warm Superterran,Transit,5.34,2.167,0.524433966115432,244.820749984383,83.9997,150.322364996,1.5,0.6586031849107203,TOI-904
TOI-700 e,M Warm Terran,Transit,0.818,0.953,1.278049313841024,305.6881109516861,27.80978,101.52094734,1.5,0.9120318593055377,TOI-700
TOI-700 d,M Warm Terran,Transit,1.25,1.073,0.8598268771328632,276.9392586198363,37.42396,101.52094734,1.5,0.941175919741845,TOI-700
GJ 357 d,M Warm Superterran,Radial Velocity,6.1,2.34,0.3825953304140644,226.2613829674902,55.661,30.7950298236,,0.5755175196683111,GJ 357
GJ 3293 d,M Warm Superterran,Radial Velocity,7.6,2.67,0.5885926980570722,251.3040314294288,48.1345,65.851874868,,0.6297766025524363,GJ 3293
GJ 180 c,M Warm Superterran,Radial Velocity,6.4,2.41,0.7844885952402295,270.3400124979786,24.329,38.945309492,,0.695402745630364,GJ 180
GJ 433 d,M Warm Superterran,Radial Velocity,5.223,2.14,1.059806630466422,291.6300979381335,36.059,29.5646063136,,0.742460049806399,GJ 433
LP 890-9 c,M Warm Terran,Transit,25.3,1.367,0.9085761668189248,280.876791941365,8.457463,105.771738488,7.2,0.8852510892201346,LP 890-9
LHS 1140 b,M Warm Superterran,Transit,5.6,1.73,0.4252257972722254,232.2361055269197,24.73723,48.878064316,5.0,0.6578433889794666,LHS 1140
Teegarden's Star b,M Warm Terran,Radial Velocity,1.16,1.05,1.077943485815514,293.0901371164898,4.90634,12.4943188168,8.0,0.9683623820823888,Teegarden/'s Star
Teegarden's Star c,M Warm Terran,Radial Velocity,1.05,1.02,0.3494016250358681,221.1191594435956,11.416,12.4943188168,8.0,0.6590047778475818,Teegarden/'s Star
Kepler-705 b,M Warm Superterran,Transit,5.1,2.11,0.7656389697854677,269.1110486603185,56.0560538,903.0639943599998,3.89,0.7307367120077792,Kepler-705
Kepler-452 b,G Warm Superterran,Transit,3.29,1.63,1.10901298442302,295.2294508896408,384.843,1799.49071412,6.0,0.826718498030897,Kepler-452
Kepler-1649 c,M Warm Terran,Transit,1.2,1.06,1.226056845240327,302.7284049431404,19.53527,300.687456428,,0.9252978951868612,Kepler-1649
K2-9 b,M Warm Superterran,Transit,5.69,2.25,1.448495716881269,315.6129574939447,18.4498,270.589128436,1.0,0.6987684043607543,K2-9
GJ 367 d,M Warm Superterran,Radial Velocity,6.03,2.33,1.145208998867472,296.5086154194831,34.369,30.6998575028,,0.7135547188279516,GJ 367
Kepler-1544 b,K Warm Superterran,Transit,3.82,1.78,0.8430264200825404,275.6676584946736,168.811174,1092.9161404,2.34,0.7926635120647971,Kepler-1544
Kepler-1410 b,K Warm Superterran,Transit,3.82,1.78,1.074749569054105,292.9222362087997,60.866168,1196.99252,4.07,0.7999741710157133,Kepler-1410
Kepler-1540 b,K Warm Superterran,Transit,6.76,2.49,0.7762063312630189,270.0348497102646,125.4131177,798.9517376,2.51,0.6852401430455627,Kepler-1540
Kepler-1606 b,G Warm Superterran,Transit,4.94,2.07,1.636042797144682,325.3675117613493,196.435224,2711.29242772,4.27,0.7002538666326197,Kepler-1606
Kepler-1653 b,K Warm Superterran,Transit,5.35,2.17,1.043989556683339,290.8034533879476,140.2524,2462.4778,7.7,0.7385740715642647,Kepler-1653
HD 216520 c,K Warm Superterran,Radial Velocity,9.44,3.03,1.276091475504485,304.9412596785313,154.43,63.77002112,6.0,0.6336328430066284,HD 216520
Kepler-296 f,M Warm Superterran,Transit,3.89,1.8,0.4394975083841701,229.2765211254743,63.33627,544.68052,4.2,0.6584999747490459,Kepler-296
TRAPPIST-1 g,M Warm Terran,Transit,1.321,1.129,0.2523205507303448,203.8981684656817,12.352446,40.540828114528,0.5,0.5756638207235474,TRAPPIST-1
Kepler-283 c,K Warm Superterran,Transit,3.97,1.82,0.8943164969591413,279.7681889736182,92.743711,1526.71666664,3.09,0.7906371718935887,Kepler-283
K2-18 b,M Warm Superterran,Transit,8.92,2.37,1.264153833251649,302.734505154903,32.939623,124.026037496,,0.7009376843765194,K2-18
TRAPPIST-1 d,M Warm Subterran,Transit,0.388,0.788,1.115770254052075,295.6742547863868,4.049219,40.540828114528,0.5,0.9076624106772956,TRAPPIST-1
GJ 1002 b,M Warm Terran,Radial Velocity,1.08,1.03,0.673236416803487,260.5958054292739,10.3465,15.8142281252,,0.8615154553633029,GJ 1002
Wolf 1061 c,M Warm Superterran,Radial Velocity,3.41,1.66,1.296771609955153,306.3028383143694,17.8719,14.0440164352,,0.8021875230716463,Wolf 1061
GJ 682 b,M Warm Superterran,Radial Velocity,4.4,1.93,0.3134831734758324,215.0089377540992,17.478,16.3296850676,,0.5676058263379796,GJ 682
HIP 38594 b,M Warm Superterran,Radial Velocity,8.1,2.77,1.342419006109719,307.9746662247606,60.722,58.018586216,,0.6522963749465374,HIP 38594
GJ 667 C e,M Warm Terran,Radial Velocity,2.7,1.45,0.3022231093474442,213.2921445072652,62.24,23.6266101776,2.0,0.5994658440247006,GJ 667 C
GJ 667 C f,M Warm Terran,Radial Velocity,2.7,1.45,0.5635679978950997,249.2233830204183,39.026,23.6266101776,2.0,0.763729929492645,GJ 667 C
TRAPPIST-1 e,M Warm Terran,Transit,0.692,0.92,0.64677601656722,257.9953507861015,6.101013,40.540828114528,0.5,0.8454945115261311,TRAPPIST-1
Kepler-1701 b,K Warm Superterran,Transit,5.57,2.222,1.417046135683686,313.8856913131539,169.134,1905.21418152,,0.7053687104422459,Kepler-1701
Kepler-62 e,K Warm Superterran,Transit,36.0,1.61,1.151182688230355,297.9967883561896,122.3874,981.31860344,7.0,0.8274275395032329,Kepler-62
GJ 514 b,M Warm Superterran,Radial Velocity,5.2,2.13,0.2700907757332474,198.9284556040379,140.43,24.8458465368,0.8,0.5201008375321021,GJ 514
Kepler-62 f,K Warm Terran,Transit,35.0,1.41,0.4071468803825863,229.8070241269592,267.291,981.31860344,7.0,0.6787140844078122,Kepler-62
TOI-715 b,M Warm Terran,Transit,3.02,1.55,0.7125967138229101,264.3239251373151,19.288004,138.305799488,6.2,0.8067602540204043,TOI-715
GJ 667 C c,M Warm Superterran,Radial Velocity,3.8,1.77,0.8775398558709887,278.4259152810632,28.14,23.6266101776,2.0,0.7981014007944902,GJ 667 C
K2-288 B b,M Warm Superterran,Transit,4.27,1.9,0.436829846423085,233.8856609951522,31.393463,214.003345528,1.0,0.6464881419295536,K2-288 B
Kepler-22 b,G Warm Superterran,Transit,9.1,2.1,1.411057470629106,275.418076598015,289.863876,634.8365615199999,7.0,0.72163259984665,Kepler-22
Proxima Cen b,M Warm Terran,Radial Velocity,1.07,1.03,0.6784682362017355,261.0810336683397,11.1868,4.2439092564,,0.86414229331664,Proxima Cen
K2-3 d,M Warm Terran,Transit,2.2,1.458,1.454409660819314,315.4427259618852,44.55603,143.745755412,6.9,0.8142638226173193,K2-3
Kepler-174 d,K Warm Superterran,Transit,5.43,2.19,0.5872495093975978,251.843755355038,247.35373,1254.90804092,4.9,0.6784561501442405,Kepler-174
Kepler-440 b,K Warm Superterran,Transit,4.12,1.86,1.435637854226977,307.8069312277451,101.11141,981.8274067999998,1.3,0.7526026313450855,Kepler-440
Kepler-442 b,K Warm Terran,Transit,2.36,1.34,0.699682638644652,263.0391661405113,112.3053,1193.6168054,2.9,0.8382420225025671,Kepler-442
Ross 128 b,M Warm Terran,Radial Velocity,1.4,1.11,1.482444411453575,316.6417140251464,9.8658,11.0062646824,5.0,0.8577206656471901,Ross 128
TOI-2257 b,M Warm Superterran,Transit,5.45,2.194,0.7440171228596921,253.7007171889206,35.189346,188.489140116,,0.716019791068774,TOI-2257
GJ 229 A c,M Warm Superterran,Radial Velocity,8.58137,2.87,0.4370866808747376,227.7645573585606,121.93268,18.7743221344,0.4,0.560159894288723,GJ 229 A
GJ 273 b,M Warm Terran,Radial Velocity,2.89,1.51,1.064476588746966,291.6700194895948,18.6498,12.34846216290474,,0.8546375895745704,GJ 273
GJ 163 c,M Warm Superterran,Radial Velocity,6.8,2.5,1.251825186720362,303.7456203463058,25.63058,49.34251046,6.0,0.6868069550849005,GJ 163
TRAPPIST-1 f,M Warm Terran,Transit,1.039,1.045,0.3735306114175542,224.9048458455353,9.20754,40.540828114528,0.5,0.677112405586451,TRAPPIST-1
GJ 1061 c,M Warm Terran,Radial Velocity,1.74,1.18,1.448571317858297,310.4958039055941,6.689,11.9789923368,7.0,0.8579105793021902,GJ 1061
HN Lib b,M Warm Superterran,Radial Velocity,5.46,2.2,0.5053819910495633,242.2818673718972,36.116,20.3665504952,4.4,0.6474514925735746,HN Lib
Kepler-1638 b,G Warm Superterran,Transit,4.16,1.87,1.385758191588865,312.1385328022981,259.33683,4975.5750112,4.37,0.7570641135411034,Kepler-1638
Kepler-1652 b,M Warm Terran,Transit,3.19,1.6,0.841257578421338,275.5229428119624,38.09722,821.9131199999999,3.2,0.8258056945095709,Kepler-1652
Kepler-186 f,M Warm Terran,Transit,1.71,1.17,0.2947000572382695,211.9045098682499,129.9441,579.2334866399999,4.0,0.6108342013890882,Kepler-186
Kepler-1229 b,M Warm Terran,Transit,2.54,1.4,0.3243560832703989,217.1106026765632,86.828989,865.88547192,3.72,0.62049438782617,Kepler-1229
Kepler-155 c,M Warm Superterran,Transit,5.65,2.24,1.052856706955608,291.4189828588866,52.661793,957.26459844,2.9,0.728767145506394,Kepler-155
GJ 180 d,M Warm Superterran,Radial Velocity,7.56,2.66,0.2602443980990179,204.7205672802464,106.3,38.945309492,,0.475466399218914,GJ 180
GJ 1002 c,M Warm Terran,Radial Velocity,1.36,1.1,0.2581590037033207,205.067737602367,21.202,15.8142281252,,0.5817152529716992,GJ 1002
HD 40307 g,K Warm Superterran,Radial Velocity,7.1,2.56,0.6664590500042545,255.7196682856674,197.8,42.19251862799999,4.5,0.6593528035498593,HD 40307
GJ 1061 d,M Warm Terran,Radial Velocity,1.64,1.16,0.686780310851125,246.5756326354671,13.031,11.9789923368,7.0,0.8586351119602917,GJ 1061
Kepler-296 e,M Warm Terran,Transit,2.96,1.53,1.00060661330768,281.6348027737593,34.14211,544.68052,4.2,0.8518707588189728,Kepler-296
K2-72 e,M Warm Terran,Transit,2.21,1.29,1.303262132935844,306.685393152554,24.158868,216.672280076,,0.8708235731580869,K2-72
Kepler-443 b,K Warm Superterran,Transit,6.04,2.33,0.8900883349260323,278.8004208612754,177.6693,2616.65500276,3.2,0.7146042366211369,Kepler-443
K2-332 b,M Warm Superterran,Transit,5.48,2.2,1.16654249688907,298.9858686507328,17.70632,401.83071512,,0.7293212064959401,K2-332
Ross 508 b,M Warm Superterran,Radial Velocity,4.0,1.83,1.320490987652004,301.8591463135429,10.77,36.563066068,,0.7707707213264158,Ross 508
Wolf 1069 b,M Warm Terran,Radial Velocity,1.26,1.08,0.6520208053869847,258.5180578097902,15.564,31.2568667196,,0.8485934799055707,Wolf 1069
